iter	Passed	Remaining
829	2284	468
830	2287	465
831	2289	462
832	2290	459
833	2292	456
834	2296	453
835	2298	450
836	2300	447
837	2301	444
838	2302	441
839	2304	438
840	2306	436
841	2307	433
842	2309	430
843	2310	427
844	2311	424
845	2313	421
846	2315	418
847	2316	415
848	2317	412
849	2318	409
850	2320	406
851	2321	403
852	2323	400
853	2324	397
854	2325	394
855	2331	392
856	2334	389
857	2336	386
858	2337	383
859	2339	380
860	2340	377
861	2341	374
862	2343	371
863	2345	369
864	2346	366
865	2347	363
866	2349	360
867	2350	357
868	2351	354
869	2360	352
870	2361	349
871	2362	346
872	2364	343
873	2365	341
874	2367	338
875	2373	336
876	2376	333
877	2379	330
878	2381	327
879	2383	325
880	2391	323
881	2392	320
882	2393	317
883	2394	314
884	2396	311
885	2397	308
886	2398	305
887	2403	303
888	2406	300
889	2407	297
890	2408	294
891	2410	291
892	2411	288
893	2413	286
894	2418	283
895	2420	280
896	2422	278
897	2424	275
898	2426	272
899	2428	269
900	2434	267
901	2436	264
902	2437	261
903	2439	259
904	2441	256
905	2443	253
906	2444	250
907	2448	248
908	2450	245
909	2452	242
910	2454	239
911	2455	236
912	2457	234
913	2459	231
914	2463	228
915	2465	226
916	2467	223
917	2469	220
918	2471	217
919	2473	215
920	2477	212
921	2479	209
922	2481	207
923	2483	204
924	2485	201
925	2487	198
926	2488	195
927	2493	193
928	2495	190
929	2497	188
930	2499	185
931	2501	182
932	2502	179
933	2503	176
934	2508	174
935	2510	171
936	2512	168
937	2515	166
938	2516	163
939	2518	160
940	2521	158
941	2523	155
942	2527	152
943	2528	150
944	2530	147
945	2531	144
946	2532	141
947	2537	139
948	2541	136
949	2542	133
950	2544	131
951	2545	128
952	2547	125
953	2548	122
954	2552	120
955	2554	117
956	2556	114
957	2558	112
958	2559	109
959	2561	106
960	2562	103
961	2567	101
962	2570	98
963	2571	96
964	2573	93
965	2574	90
966	2576	87
967	2577	85
968	2581	82
969	2584	79
970	2585	77
971	2587	74
972	2588	71
973	2590	69
974	2591	66
975	2593	63
976	2595	61
977	2597	58
978	2599	55
979	2600	53
980	2601	50
981	2603	47
982	2609	45
983	2611	42
984	2613	39
985	2615	37
986	2616	34
987	2618	31
988	2619	29
989	2623	26
990	2625	23
991	2627	21
992	2628	18
993	2629	15
994	2631	13
995	2637	10
996	2639	7
997	2641	5
998	2643	2
999	2644	0
